country,city,latitude,longitude,price_to,price_from,mean_price,median_price,two_week_vacation_price
Turks & Caicos Islands,Grace Bay,21.795446395874,-72.1764831542969,39101,39101,11871.0,13000.0,244396.0
Bulgaria,Sunny Beach,42.6950488049527,27.7101810143722,1875,13273,5351.295336787564,4832.642487046633,90066.1347150259
Romania,Bucharest,44.4333000183105,26.1000003814697,9259,9259,4661.624203821656,4068.789808917197,83780.7388535032
Curaçao,Willemstad,12.10912,-68.93165,45814,45814,7459.893048128342,6151.3368983957225,196066.5026737968
Angola,Luanda,-8.82717,13.24367,50771,50771,10289.70588235294,10705.882352941177,245597.88235294117
Portugal,Lisbon,38.7138328552246,-9.13931465148926,11674,16843,8938.604972375691,8287.292817679558,153657.4696132597
South Africa,Cape Town,-33.9248008728027,18.4197006225586,25950,25912,7723.237753882915,6925.925925925926,159987.3285543608
Cyprus,Protaras,35.0154591071761,34.0523178739386,6971,8824,10517.708333333334,10875.0,163042.9166666667
Brunei Darussalam,Bandar Seri Begawan,4.88955,114.94176,27984,27984,4980.263157894737,4321.0526315789475,125691.68421052632
Malaysia,Kuala Lumpur,3.15405075083867,101.707714335425,23626,21972,4461.449115044248,3400.0,108058.28761061947
Austria,Vienna,48.2085456848145,16.3728046417236,7259,7259,8350.579374275781,7801.62224797219,131426.11123986094
Mozambique,Maputo,-25.96621,32.56745,29702,29702,6013.125,5325.0,143587.75
Uganda,Kampala,0.31666699051857,32.5833015441895,24249,24249,5596.276595744681,4219.148936170212,126845.87234042553
Japan,Tokyo,35.6859600461771,139.729518064178,31977,28850,7354.761904761905,7054.037267080746,163793.66666666666
Sint Maarten,Dawn Beach,18.0453,-63.01935,50705,50705,9646.629213483146,10033.707865168539,236462.80898876404
Brazil,Rio de Janeiro,-22.9012709976364,-43.1790323741734,43236,43236,6437.139986604153,5266.04152712659,176591.95981245814
Kuwait,Kuwait,29.3696994781494,47.9782981872559,16708,14926,9707.712765957447,10095.744680851063,167541.97872340426
Panama,Panama City,8.97725354246307,-79.5203296969703,43963,43963,5411.417322834645,4502.36220472441,163685.84251968504
Costa Rica,Jacó,9.61666965484619,-84.63330078125,40240,40240,9526.254180602007,10270.903010033446,213847.5585284281
Luxembourg,Luxembourg,49.6116981506348,6.13000011444092,16267,16267,8917.391304347826,8652.173913043478,157377.47826086957
Bahamas,Nassau,25.0761451721191,-77.3398818969727,50081,42533,10524.545454545454,10818.181818181818,239957.63636363635
Gibraltar,Gibraltar,36.14515,-5.34848,13814,13814,13000.0,13000.0,209628.0
Ireland,Dublin,53.34976,-6.26027,13484,12030,11632.317073170732,13000.0,188366.43902439025
Pakistan,Lahore,31.56219,74.32285,17853,17853,5605.504587155963,4202.752293577982,114183.06422018349
Palau,Koror,7.34327,134.47668,58571,58571,8009.259259259259,7588.888888888889,229271.62962962964
Nigeria,Lagos,6.45306015014648,3.39582991600037,28826,28826,7664.858490566037,7046.226415094339,164960.01886792452
Ecuador,Quito,-0.220877079255447,-78.5149308358814,89439,89439,3987.2115384615386,3400.0,234698.96153846153
Bangladesh,Dhaka,23.7231006622314,90.4085998535156,22282,22282,5666.480446927374,4710.055865921788,123894.72625698324
US Virgin Islands,Christiansted,17.7446994781494,-64.7059020996094,43897,43897,9623.863636363636,9154.545454545454,222528.0909090909
Australia,Sydney,-33.8704566955566,151.209014892578,39884,36021,8996.629213483146,8288.282504012841,201857.80898876404
Algeria,Alger,36.7630996704102,3.05055999755859,17742,17742,8465.90909090909,7745.454545454545,154006.72727272726
El Salvador,San Salvador,13.69776,-89.19301,52323,52323,4105.789473684211,3805.263157894737,162127.05263157896
Russia,Saint Petersburg,59.9391250610352,30.3156623840332,2751,2751,4422.9551451187335,3969.48109058927,67423.37203166226
Chile,Santiago,-33.4438934326172,-70.6536865234375,73047,73047,5603.174603174603,5316.666666666667,224538.44444444444
Puerto Rico,San Juan,18.4653,-66.11667,39369,40205,8509.562841530054,7831.693989071038,198707.87978142075
Belgium,Brussels,50.8467065511672,4.35247170920775,10225,9539,7606.6598360655735,7166.803278688525,126257.23770491802
Thailand,Bangkok,13.755838394165,100.505638122559,19771,32267,4735.740203193033,3433.0188679245284,118338.36284470247
Haiti,Port-au-Prince,18.54733,-72.33959,46937,46937,7212.5,5900.0,194849.0
Belize,San Pedro,17.92039,-87.96187,47202,47202,9154.950495049505,8281.18811881188,222573.30693069307
Hong Kong,Hong Kong,22.2826974594311,114.158271089836,38287,38287,7702.97121634169,7184.958217270195,184415.59702878364
Georgia,Batumi,41.6380004882812,41.6370010375977,8095,8095,4731.40085186938,4673.781353525793,82429.61192617132
Denmark,Copenhagen,55.6787872314453,12.5794315338135,10156,10156,10122.916666666666,13000.0,162032.8333333333
Poland,Kraków,50.0629997253418,19.9370002746582,12151,12151,5873.769574944072,5584.563758389262,106534.774049217
Moldova,Chişinău,47.0248985290527,28.8323993682861,5352,5352,3958.823529411765,3400.0,66127.5294117647
French Guiana,Cayenne,4.93711,-52.32583,73642,73642,8073.611111111111,7588.888888888889,260314.55555555556
Morocco,Marrakech,31.6282096318487,-8.00063243301793,21523,21523,6215.8315935977735,5214.544189283229,130067.64231036883
Croatia,Split,43.5085830688477,16.4407501220703,13881,16213,7449.479166666667,6964.583333333333,134386.70833333334
French Polynesia,Punaauia,-17.59292,-149.60637,74155,74155,8550.0,7615.384615384615,268010.0
Guinea-Bissau,Bruce,11.2333002090454,-15.8667001724243,37061,37061,8366.666666666666,7933.333333333334,191255.3333333333
Switzerland,Zermatt,46.023638,7.747895,7861,10345,11883.838383838383,13000.0,184579.73737373736
Grenada,Saint Georgeʼs,12.0500001907349,-61.75,79418,79418,9686.363636363636,10136.363636363636,294445.09090909094
Seychelles,La Digue,-4.35799980163574,55.8289985656738,25244,36814,8450.0,10000.0,180358.0
Estonia,Tallinn,59.4384994506836,24.755500793457,9599,9599,7593.895348837209,7080.232558139535,125512.53488372093
Kosovo,Pristina,42.66368,21.16394,13415,13415,4787.378640776699,4045.631067961165,93853.3009708738
Lebanon,Beirut,33.8955116271973,35.5000915527344,14214,17020,8866.346153846154,8052.5641025641025,155362.84615384616
Uzbekistan,Tashkent,41.3166999816895,69.25,12385,12385,6523.267326732674,5028.712871287129,116095.74257425743
Tunisia,Hammamet,36.4000015258789,10.6167001724243,19572,23300,9306.052631578947,8498.947368421053,173156.73684210525
Djibouti,Djibouti,11.5920000076294,43.1467018127441,35565,35565,9231.818181818182,8872.727272727272,200375.45454545453
Rwanda,Kigali,-1.95085,30.06151,32425,32425,6638.75,5208.333333333333,157792.5
Dominica,Roseau,15.29846,-61.3875,54974,54974,7294.827586206897,5934.48275862069,212075.58620689655
Colombia,Cartagena de Indias,10.4250082717248,-75.5469052629633,47024,47024,6252.588996763754,4906.472491909385,181584.24595469254
Reunion,Saint-Pierre,-21.3413,55.47762,54386,54386,7889.102564102564,7217.948717948718,219219.4358974359
Burundi,Bujumbura,-3.36381,29.3675,30740,30740,7783.0,7396.0,170442.0
Taiwan,Taipei,25.046236038208,121.517631530762,26645,26645,6432.518337408313,5573.59413202934,143345.2567237164
Fiji,Nadi,-17.7999992370605,177.417007446289,54539,71536,5988.970588235294,5150.0,209920.5882352941
Barbados,Saint James,13.2161998748779,-59.6156997680664,57363,49979,10759.23076923077,13000.0,257971.23076923078
Qatar,Doha,25.2866992950439,51.5332984924316,24200,21173,8566.02564102564,7853.846153846154,165297.35897435897
Italy,Rome,41.8958702087402,12.4826173782349,11516,9801,7797.5368842210555,7248.062015503876,130482.51637909477
USA,Orlando,28.5352993011475,-81.38330078125,39665,31975,9529.91927346115,8479.717457114026,205058.86982845608
Liechtenstein,Malbun,47.101724,9.609686,18067,18067,11490.0,11800.0,196994.0
Nepal,Kathmandu,27.6984539031982,85.325325012207,22894,22894,3731.8464730290457,3400.0,98033.85062240664
Malta,St Julian's,35.9197006225586,14.4843997955322,13317,15014,10571.764705882353,11094.117647058823,176335.70588235295
Maldives,Male City,4.17528004675564,73.5091302393994,26182,39891,9172.151898734177,8037.974683544304,194483.12658227846
Suriname,Paramaribo,5.82162,-55.1772,64489,64489,3784.8958333333335,3400.0,181966.5416666667
Anguilla,Shoal Bay Village,18.25332,-63.03043,50705,50705,11567.021276595744,13000.0,263348.2978723404
Venezuela,Caracas,10.5061,-66.9146,44715,44715,8018.75,7675.0,201692.5
Israel,Tel Aviv,32.078010559082,34.7742919921875,15833,8670,10508.170731707318,10848.780487804877,171617.39024390245
Iceland,Reykjavík,64.147216796875,-21.9397811889648,19294,15541,11729.411764705883,13000.0,199046.76470588235
Zambia,Lusaka,-15.4167,28.28138,39997,39997,5774.4604316546765,4482.73381294964,160836.44604316546
Senegal,Dakar,14.756799697876,-17.4009990692139,25058,25058,6096.306818181818,5468.181818181818,135464.29545454547
Papua New Guinea,Port Moresby,-9.46471977233887,147.192993164062,49587,49587,9945.238095238095,9409.52380952381,238407.33333333334
Jordan,Amman,31.9534301757812,35.9450378417969,17595,17595,5520.975609756098,4765.8536585365855,112483.65853658537
Gambia,Brufut,13.38135,-16.75179,37729,37729,4401.785714285715,3525.0,137083.0
Kazakhstan,Astana,51.1662864685059,71.4344863891602,20953,20953,5126.379310344828,4985.057471264367,113675.3103448276
Philippines,Manila,14.5967655181885,120.983680725098,18500,29938,4248.3007646559045,3438.6576040781647,107914.21070518266
Kyrgyzstan,Bishkek,42.874706,74.612271,12973,12973,3674.342105263158,3400.0,77386.78947368421
Mayotte,Mamoudzou,-12.7793998718262,45.2271995544434,68817,68817,10506.25,10750.0,284721.5
Iraq,Erbil,36.189998626709,44.0088996887207,18297,18297,7575.742574257426,7053.465346534654,142654.39603960398
New Caledonia,Noumea,-22.27453,166.44242,70866,70866,8829.166666666666,8450.0,265340.3333333333
Macedonia,Skopje,41.9973270907282,21.4281837455928,13415,13415,5915.505226480836,4168.292682926829,109647.07317073172
Trinidad and Tobago,Port-of-Spain,10.6499996185303,-61.5167007446289,45351,45351,6985.714285714285,6122.222222222223,188502.0
Latvia,Rīga,56.9494934082031,24.1057415008545,8873,8873,5989.705882352941,4841.176470588235,101601.88235294117
Guyana,Georgetown,6.80258,-58.16286,62603,62603,5409.523809523809,4900.0,200939.3333333333
Belarus,Minsk,53.90234,27.5619,3210,3210,4193.643410852713,3503.100775193798,65131.00775193798
Guadeloupe,Saint-François,16.2532,-61.27507,68300,68300,7677.4390243902435,6975.609756097561,244084.1463414634
Côte d'Ivoire,Abidjan,5.32036,-4.01611,33601,33601,6890.890688259109,5709.716599190284,163674.46963562752
Honduras,San Pedro Sula,15.50565,-88.0242,56397,56397,4562.31884057971,4363.768115942029,176666.46376811594
Myanmar,Yangon,16.774213718036,96.1585886640387,29786,29786,4204.266958424508,3400.0,118431.7374179431
Mexico,Playa del Carmen,20.6275959014893,-87.0747985839844,39991,39991,7579.791847354727,7080.138768430183,186099.0858629662
Egypt,Cairo,30.0444927215576,31.2355690002441,18274,22593,5841.581632653061,4292.857142857143,122649.14285714286
Nicaragua,Managua,12.14612,-86.27372,53943,53943,4270.520231213873,3865.3179190751443,167673.28323699423
Cuba,Havana,23.1354367857482,-82.3596795089543,31801,31801,7683.098591549296,7118.30985915493,171165.38028169016
Serbia,Belgrade,44.8163719177246,20.4603424072266,9362,9362,3908.8085539714866,3400.0,73447.31975560081
United Kingdom,London,51.5073905425711,-0.127634324117025,12115,10571,10324.560351718625,10731.414868105516,167229.84492406074
Greece,Athens,37.986400604248,23.7287998199463,7735,14419,7565.807174887892,7080.717488789238,128075.30044843048
Sri Lanka,Kandy,7.29311180114746,80.635124206543,22793,27976,3899.7292418772563,3400.0,105365.20938628158
Namibia,Swakopmund,-22.67678,14.5314,39402,39402,7795.238095238095,7244.444444444444,187937.33333333334
Botswana,Gaborone,-24.65859,25.90849,32449,32449,5861.413043478261,5226.086956521739,146957.78260869565
